"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"304","17031020200","2010","Vehicle/Other",121,11,0,0,1,10
"305","17031020200","2011","PEDALCYCLIST",1,1,0,0,1,0
"306","17031020200","2011","PEDESTRIAN",3,3,0,0,2,1
"307","17031020200","2011","Vehicle/Other",103,10,0,1,5,4
"308","17031020200","2012","PEDALCYCLIST",2,2,0,0,2,0
"309","17031020200","2012","Vehicle/Other",135,31,0,4,16,11
"310","17031020200","2013","PEDALCYCLIST",2,2,0,0,2,0
"311","17031020200","2013","PEDESTRIAN",4,5,0,1,4,0
"312","17031020200","2013","Vehicle/Other",129,35,0,3,12,20
"313","17031020200","2014","PEDALCYCLIST",2,2,0,0,2,0
"314","17031020200","2014","PEDESTRIAN",5,4,0,1,2,1
"315","17031020200","2014","Vehicle/Other",138,30,0,5,18,7
"316","17031020200","2015","PEDESTRIAN",8,8,0,1,3,4
"317","17031020200","2015","Vehicle/Other",131,17,0,2,7,8
"318","17031020200","2016","PEDALCYCLIST",4,4,0,1,1,2
"319","17031020200","2016","PEDESTRIAN",5,5,0,2,1,2
"320","17031020200","2016","Vehicle/Other",142,20,0,0,14,6
"321","17031020200","2017","PEDALCYCLIST",7,8,0,0,8,0
"322","17031020200","2017","PEDESTRIAN",7,7,0,1,5,1
"323","17031020200","2017","Vehicle/Other",160,35,0,5,18,12
"324","17031020301","2009","PEDALCYCLIST",1,1,0,1,0,0
"325","17031020301","2009","Vehicle/Other",24,4,0,0,0,4
"326","17031020301","2010","PEDALCYCLIST",1,1,0,0,0,1
"327","17031020301","2010","Vehicle/Other",32,6,0,2,2,2
"328","17031020301","2011","PEDALCYCLIST",1,1,0,0,1,0
"329","17031020301","2011","PEDESTRIAN",2,4,0,0,2,2
"330","17031020301","2011","Vehicle/Other",18,4,0,0,1,3
"331","17031020301","2012","Vehicle/Other",24,6,0,1,3,2
"332","17031020301","2013","PEDALCYCLIST",1,1,0,0,1,0
"333","17031020301","2013","Vehicle/Other",40,8,0,0,7,1
"334","17031020301","2014","Vehicle/Other",35,3,0,2,1,0
