"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"339","LINCOLN PARK","2018","Vehicle/Other",2275,223,1,24,123,75
"340","LINCOLN PARK","2019","PEDALCYCLIST",107,73,0,8,56,9
"341","LINCOLN PARK","2019","PEDESTRIAN",75,67,0,13,43,11
"342","LINCOLN PARK","2019","Vehicle/Other",2262,218,2,18,116,82
"343","LINCOLN PARK","2020","PEDALCYCLIST",76,55,0,11,35,9
"344","LINCOLN PARK","2020","PEDESTRIAN",38,30,0,6,18,6
"345","LINCOLN PARK","2020","Vehicle/Other",1217,136,1,13,71,51
"346","LINCOLN SQUARE","2018","PEDALCYCLIST",34,23,0,1,16,6
"347","LINCOLN SQUARE","2018","PEDESTRIAN",36,28,0,8,15,5
"348","LINCOLN SQUARE","2018","Vehicle/Other",1189,141,0,9,59,73
"349","LINCOLN SQUARE","2019","PEDALCYCLIST",34,25,0,3,14,8
"350","LINCOLN SQUARE","2019","PEDESTRIAN",25,26,0,5,15,6
"351","LINCOLN SQUARE","2019","Vehicle/Other",1189,112,0,7,54,51
"352","LINCOLN SQUARE","2020","PEDALCYCLIST",25,17,0,1,16,0
"353","LINCOLN SQUARE","2020","PEDESTRIAN",12,10,0,4,3,3
"354","LINCOLN SQUARE","2020","Vehicle/Other",724,94,0,13,44,37
"355","LOGAN SQUARE","2018","PEDALCYCLIST",119,84,0,13,61,10
"356","LOGAN SQUARE","2018","PEDESTRIAN",77,75,0,12,50,13
"357","LOGAN SQUARE","2018","Vehicle/Other",2796,379,2,29,196,152
"358","LOGAN SQUARE","2019","PEDALCYCLIST",107,80,0,10,50,20
"359","LOGAN SQUARE","2019","PEDESTRIAN",78,78,0,9,54,15
"360","LOGAN SQUARE","2019","Vehicle/Other",2607,356,0,36,191,129
"361","LOGAN SQUARE","2020","PEDALCYCLIST",69,46,0,3,36,7
